date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:30:49	48622/48622	---M-Z	200	added ('OK')	text/html	etag:%22586885fc69a676e65369ec44487e67ba-ssl-df%22	https://wagtrung.com/	/Users/phanthang/Desktop/Project/niceall_horan/niceall_horan/wagtrung.com/index.html	(from )
21:30:49	1444/1444	---MCZ	404	error ('Not%20Found')	text/html	etag:1673210919-ssl-df	https://wagtrung.com/robots.txt		(from )
21:30:50	490128/490128	---M--	200	added ('OK')	image/png	etag:%228245087c8ce4dd7ab884fa7759bdc498-ssl%22	https://wagtrung.com/img/meta/home.png	/Users/phanthang/Desktop/Project/niceall_horan/niceall_horan/wagtrung.com/img/meta/home.png	(from https://wagtrung.com/)
21:30:51	79361/79361	---MCZ	200	added ('OK')	text/css	etag:%224a8d8533d4b74406028efea926920650-ssl-df%22	https://wagtrung.com/css/vendors.css	/Users/phanthang/Desktop/Project/niceall_horan/niceall_horan/wagtrung.com/css/vendors.css	(from https://wagtrung.com/)
21:30:52	316253/316253	---M-Z	200	added ('OK')	text/css	etag:%22d047f87bb7a1133210254e19aac65b1f-ssl-df%22	https://wagtrung.com/css/main.css	/Users/phanthang/Desktop/Project/niceall_horan/niceall_horan/wagtrung.com/css/main.css	(from https://wagtrung.com/)
21:30:52	4286/4286	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2295a4fa6225b9039ea6786400db7c4f17-ssl%22	https://wagtrung.com/img/favicon/favicon.ico	/Users/phanthang/Desktop/Project/niceall_horan/niceall_horan/wagtrung.com/img/favicon/favicon.ico	(from https://wagtrung.com/)
21:30:53	48622/48622	---M-Z	200	added ('OK')	text/html	etag:%22586885fc69a676e65369ec44487e67ba-ssl-df%22	https://wagtrung.com/index.html	/Users/phanthang/Desktop/Project/niceall_horan/niceall_horan/wagtrung.com/index-2.html	(from https://wagtrung.com/)
21:30:55	42504/42504	---MCZ	200	added ('OK')	text/html	etag:%22a3c6f7cfadee860ba06cfa53e310aabf-ssl-df%22	https://wagtrung.com/case-studies.html	/Users/phanthang/Desktop/Project/niceall_horan/niceall_horan/wagtrung.com/case-studies.html	(from https://wagtrung.com/)
21:30:55	73175/73175	---M-Z	200	added ('OK')	text/html	etag:%22bd9b4a68c4b953eea7adb69a7b3a899e-ssl-df%22	https://wagtrung.com/about-me.html	/Users/phanthang/Desktop/Project/niceall_horan/niceall_horan/wagtrung.com/about-me.html	(from https://wagtrung.com/)
21:30:56	72518/72518	---M-Z	200	added ('OK')	text/html	etag:%221e6fa06a631f4223cb72207d0ce440ea-ssl-df%22	https://wagtrung.com/works.html	/Users/phanthang/Desktop/Project/niceall_horan/niceall_horan/wagtrung.com/works.html	(from https://wagtrung.com/)
21:30:59	3082/3082	---MCZ	404	error ('Not%20Found')	text/html	etag:1673210919-ssl-df	https://wagtrung.com/transparent	/Users/phanthang/Desktop/Project/niceall_horan/niceall_horan/wagtrung.com/transparent.a.delayed	(from https://wagtrung.com/)
21:31:01	94719/94719	---M-Z	200	added ('OK')	text/html	etag:%223e34c55e2dc2fc8920aba70b0db77cc8-ssl-df%22	https://wagtrung.com/erp-system.html	/Users/phanthang/Desktop/Project/niceall_horan/niceall_horan/wagtrung.com/erp-system.html	(from https://wagtrung.com/)
21:31:01	1762593/1762593	---M--	200	added ('OK')	image/png	etag:%223545da019fb0a472075c4f28b3b36469-ssl%22	https://wagtrung.com/img/general/wt.png	/Users/phanthang/Desktop/Project/niceall_horan/niceall_horan/wagtrung.com/img/general/wt.png	(from https://wagtrung.com/)
21:31:02	44813/44813	---M-Z	200	added ('OK')	text/html	etag:%22911e77d156338f3168e3ca505415918e-ssl-df%22	https://wagtrung.com/ielts-tinder.html	/Users/phanthang/Desktop/Project/niceall_horan/niceall_horan/wagtrung.com/ielts-tinder.html	(from https://wagtrung.com/)
21:31:03	34584/34584	---M-Z	200	added ('OK')	text/html	etag:%22db9eb9d1c611cd34506457236eed4e2f-ssl-df%22	https://wagtrung.com/mobile.html	/Users/phanthang/Desktop/Project/niceall_horan/niceall_horan/wagtrung.com/mobile.html	(from https://wagtrung.com/)
21:31:04	3556624/3556624	---M-Z	200	added ('OK')	application/pdf	etag:%2262b9f26fd83268847f35359fdc87fd0d-ssl%22	https://wagtrung.com/img/backgrounds/CV_QuangTrung_UIUX.pdf	/Users/phanthang/Desktop/Project/niceall_horan/niceall_horan/wagtrung.com/img/backgrounds/CV_QuangTrung_UIUX.pdf	(from https://wagtrung.com/)
